,unique_id_in_geo,pid,hhd,relationship,age,age-group,gender,income,income-group,education,education-level,edu-year,edu-year-required,status,number,hhd-income,hhd-income-group,license,max-friend,min-friend,my-score,district,livelon,livelat,wslong,wslat,residence-size,residence-cost,current-ws-dis,weekday-shopping,weekday-leisure,weekend-shopping,weekend-leisure,distance-max,weekday-deptime,weekday-endtime,weekend-deptime,weekend-endtime
0,1,1,1,1,34,3,0,150000,0,8,4,0,0,2,1,150000,0,0,40,20,0,0,114.0403132,22.56725171,114.0959054,22.56484784,1,2497745.187,25.60990662,5,3,1,2,50,540,829.78,720,1052.97
1,2,2,2,1,30,3,0,150000,0,9,4,0,0,2,1,150000,0,0,8,2,0,0,113.883369,22.59400215,114.3672503,22.74564824,1,2114939.195,0,1,3,1,2,10,510,782.68,390,705.75
2,3,3,3,1,28,3,0,150000,0,9,4,0,0,2,1,150000,0,0,19,8,0,0,114.0060361,22.64477552,114.0321467,22.60364925,1,2126671.366,22.4207212,4,2,1,2,25,510,991.27,630,1022.03
3,4,4,4,1,27,3,0,150000,0,8,4,0,0,2,1,150000,0,0,2,1,0,0,114.1148965,22.58845796,114.125392,22.59488349,1,1745628.053,0,2,1,1,2,10,510,1072.17,600,994.02
4,5,5,5,1,28,3,0,150000,0,8,4,0,0,2,1,150000,0,0,19,8,0,0,113.8564484,22.62003008,113.9913012,22.73923728,1,1814286.074,0,4,5,2,2,100,510,1169.87,1080,1342.28
5,6,6,6,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,113.8072593,22.73892823,113.8059591,22.72585783,1,1746932.864,6.045268749,2,1,1,1,10,450,973.1,840,1039.88
6,7,7,7,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,114.1335832,22.62485819,114.1423071,22.6301128,1,1658893.447,4.687207861,9,0,1,2,10,540,1337.88,840,1087.87
7,8,8,8,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,113.8651559,22.57054362,114.3559461,22.72906025,1,1742866.559,237.3730366,4,2,1,0,38,570,1236.93,720,1097.87
8,9,9,9,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,113.8564484,22.62003008,113.8225134,22.71739482,1,1814286.074,47.45536194,1,1,1,2,50,510,755.45,960,1304.68
9,10,10,10,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,8,2,0,0,113.8236042,22.71840044,114.017572,22.74026468,1,1831564.989,0,5,5,2,1,100,420,489.4,840,1039.38
10,11,11,11,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,114.0424233,22.68753666,114.0638115,22.73286583,1,1510473.868,23.06824872,0,5,0,2,25,540,1214.02,840,1246.03
11,12,12,12,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,113.9337326,22.76402951,113.9180013,22.7638138,1,1448515.786,0,0,2,3,2,10,600,1054.23,690,1118.95
12,13,13,13,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,114.0169023,22.63031988,114.0208734,22.61867062,1,2430030.134,0,5,2,0,2,10,420,1373.18,540,1298.33
13,14,14,14,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,114.0173094,22.62430723,113.896119,22.72186615,1,1559232.47,71.60440541,4,5,2,2,75,510,1194.48,510,1134.4
14,15,15,15,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,8,2,0,0,113.8591147,22.57989424,114.3610207,22.74594104,1,1902719.561,0,5,3,3,1,10,540,1050.3,900,1290.17
15,16,16,16,1,30,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,113.9383125,22.57746684,113.8733725,22.8019963,1,2663923.826,107.5738725,4,1,0,2,10,450,711.3,780,1037.58
16,17,17,17,1,25,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,114.0358301,22.70436869,114.0211554,22.71756814,1,1793529.133,9.084112976,0,4,1,0,10,510,843.2,540,1117.75
17,18,18,18,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,113.9299459,22.74871131,113.8846417,22.81170719,1,1509931.296,0,5,0,1,0,38,510,973.38,1020,1375.97
18,19,19,19,1,30,3,1,150000,0,6,2,0,0,2,1,150000,0,0,40,20,0,0,114.0532281,22.63081847,114.0610122,22.63303021,1,1467269.65,3.724398249,2,0,1,2,10,420,926.77,510,962.57
19,20,20,20,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,40,20,0,0,114.3354208,22.70099604,114.37472,22.69079949,1,1149744.101,18.68613004,4,2,1,0,25,420,818.75,570,1084.27
20,21,21,21,1,25,3,1,150000,0,6,2,0,0,2,1,150000,0,0,40,20,0,0,113.8505256,22.57003332,114.3039921,22.68977252,1,2530785.083,215.8587065,1,5,1,1,10,540,1259.43,720,977.63
21,22,22,22,1,30,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,113.8564484,22.62003008,113.7960411,22.67036897,1,1814286.074,0,4,3,1,2,38,330,509.1,360,724.6
22,23,23,23,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,114.116512,22.70440433,114.0994988,22.70120735,1,1448259.794,7.967276255,3,2,2,1,10,510,1135.35,360,683.78
23,24,24,24,1,30,3,1,150000,0,6,2,0,0,2,1,150000,0,0,40,20,0,0,113.8289193,22.71956443,113.9874438,22.5398186,1,1679164.959,110.3037662,4,2,2,2,400,540,1263.88,1200,1417.35
24,25,25,25,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,8,2,0,0,113.8846552,22.58885046,113.9147853,22.57005729,1,2035456.186,0,8,1,2,2,25,480,1147.35,900,1328.42
25,26,26,26,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,113.8746316,22.55197004,114.3215746,22.70437613,1,2087171.339,217.3336435,1,0,3,2,38,480,1016.82,630,989.62
26,27,27,27,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,40,20,0,0,114.0060361,22.64477552,114.0036552,22.64240349,1,2126671.366,0,2,4,2,2,10,540,1145.1,690,1026.15
27,28,28,28,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,114.0367893,22.61215185,114.3678612,22.73955335,1,1937072.136,163.2666219,9,2,2,1,10,480,760.35,840,1236.88
28,29,29,29,1,30,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,113.8594394,22.61901935,114.3559461,22.72906025,1,1693333.669,234.0594504,3,5,0,2,25,600,853,840,1237.73
29,30,30,30,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,8,2,0,0,113.8289193,22.71956443,113.77963,22.74116414,1,1679164.959,24.76774475,1,1,3,1,25,480,748.68,1140,1339.53
30,31,31,31,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,40,20,0,0,113.8678879,22.5713629,113.9308077,22.63613148,1,2439782.797,0,5,3,0,1,50,420,906.3,630,1053.3
31,32,32,32,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,114.201737,22.70969063,114.2210604,22.70565195,1,1462222.252,9.085656779,5,2,2,2,10,480,754.07,690,1037.78
32,33,33,33,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,8,2,0,0,113.9244198,22.77065499,113.9390427,22.76296163,1,1503647.188,0,8,0,1,1,10,360,1073.63,480,982.47
33,34,34,34,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,114.135555,22.60315924,114.3559461,22.72906025,1,1170698.403,116.8180573,3,2,2,2,10,420,1153.65,450,979.73
34,35,35,35,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,2,1,0,0,113.9923464,22.54206556,113.9920869,22.54301034,1,2676380.638,0,3,5,4,1,10,750,1272.7,840,1111.05
35,36,36,36,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,113.9396419,22.74453187,113.9361607,22.69222479,1,1509931.296,0,2,2,4,2,25,480,1098.1,780,1045.17
36,37,37,37,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,19,8,0,0,113.8846552,22.58885046,113.8833188,22.57999628,1,2035456.186,4.121242813,0,4,2,2,10,540,1141.12,600,1150
37,38,38,38,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,40,20,0,0,113.8852549,22.56447734,114.1272273,22.69348192,1,2591837.249,126.2050374,10,1,1,1,10,540,1225.32,330,677.38
