PID,wslong,wslat,wsplace
13750, 116.324105, 39.949082, School 2436
2674, 116.560947, 39.947993, School 2271
4109, 116.206829, 39.946787, School 2154
3994, 116.378843, 40.044872, School 2233
785, 116.465838, 39.968655, School 2426
11865, 116.450989, 39.872134, School 2381
8083, 116.273822, 39.765098, School 2449
19794, 116.605908, 40.095158, School 2404
2851, 116.305952, 39.856704, School 2175
8908, 116.413689, 39.611148, School 2412
4795, 116.450989, 39.872134, School 2381
14340, 116.152208, 39.766246, School 2413
4758, 116.323795, 40.101341, School 2103
18763, 116.329813, 39.792398, School 2159
5016, 116.546304, 39.8024, School 2136
977, 116.370968, 40.052006, School 2180
622, 116.547487, 39.860526, School 2152
18503, 116.372437, 39.814476, School 2411
2854, 116.426051, 39.950465, School 2390
18999, 116.2360984, 40.19778993, School 2483
19625, 116.400099, 40.039447, School 2452
9672, 116.093521, 39.864189, School 2182
11793, 116.522007, 39.954794, School 2425
11941, 116.312117, 40.143218, School 2376
14452, 116.335276, 39.948155, School 2033
2782, 116.374651, 39.747981, School 2398
14027, 116.54027, 39.777604, School 2008
19567, 116.120836, 39.925565, School 2165
14262, 116.4805, 39.94933, School 2102
7918, 117.1967164, 40.19544789, School 2484
5017, 116.450989, 39.872134, School 2381
9458, 116.483647, 39.957067, School 2178
2860, 116.708976, 40.102474, School 2357
9422, 116.394888, 39.711732, School 2146
12213, 116.517474, 40.016605, School 2393
14033, 116.329813, 39.792398, School 2159
2211, 116.275406, 40.019793, School 2394
20619, 116.619453, 39.878124, School 2400
10466, 116.329263, 39.921923, School 2174
19935, 116.374651, 39.747981, School 2398
1073, 116.312117, 40.143218, School 2376
15076, 116.33737, 39.930948, School 2420
13745, 116.374651, 39.747981, School 2398
920, 116.332981, 40.061771, School 2188
20634, 116.297384, 39.696431, School 2418
2713, 116.287521, 40.081248, School 2327
12227, 116.242654, 40.000578, School 2406
15057, 116.651074, 40.150029, School 2430
14196, 116.475251, 39.835216, School 2384
9419, 116.666401, 39.83305, School 2392
11048, 116.413689, 39.611148, School 2412
9819, 116.533382, 39.820292, School 2385
11751, 116.149021, 40.093347, School 2378
12677, 117.1967164, 40.19544789, School 2484
20562, 116.574388, 39.907166, School 2243
15245, 116.635916, 39.794896, School 2298
8065, 116.61018, 39.985131, School 2386
12489, 116.2934201, 39.87450578, School 2486
11905, 116.464927, 39.855216, School 2151
18983, 116.522007, 39.954794, School 2425
18127, 116.604375, 40.157884, School 2221
10982, 116.054601, 39.689656, School 2250
11201, 116.216818, 39.979761, School 2431
8869, 116.309486, 39.763932, School 2187
20114, 116.164595, 39.663125, School 2320
10219, 116.145259, 39.909844, School 2213
8095, 116.024882, 40.185789, School 2395
12127, 116.776749, 39.609963, School 2421
15662, 116.556265, 39.930574, School 2293
866, 116.685678, 39.698804, School 2348
14143, 116.30716, 39.896245, School 2346
20132, 116.245844, 40.035244, School 2415
16907, 116.619453, 39.878124, School 2400
8299, 116.3825, 39.78608, School 2309
12089, 116.270695, 39.864459, School 2171
8161, 116.400099, 40.039447, School 2452
533, 116.2360984, 40.19778993, School 2483
15021, 116.275406, 40.019793, School 2394
8281, 116.371211, 39.994342, School 2428
8632, 116.493312, 39.888556, School 2427
4717, 116.389548, 39.631017, School 2183
14889, 116.400099, 40.039447, School 2452
14225, 116.371211, 39.994342, School 2428
10422, 117.1967164, 40.19544789, School 2484
917, 116.619453, 39.878124, School 2400
9742, 116.297384, 39.696431, School 2418
12751, 115.915969, 39.68819, School 2403
1476, 116.465838, 39.968655, School 2426
52, 116.413676, 39.793057, School 2190
16368, 116.343262, 39.819683, School 2397
13835, 116.269611, 39.917743, School 2433
10058, 116.371211, 39.994342, School 2428
686, 116.4128467, 40.2306288, School 2489
4849, 116.308566, 40.05529, School 2416
9714, 116.514567, 39.9009, School 2012
12201, 116.292963, 39.860711, School 2228
4753, 116.517474, 40.016605, School 2393
16337, 116.245844, 40.035244, School 2415
9738, 116.308566, 40.05529, School 2416
21171, 116.284123, 40.094823, School 2417
2704, 116.429254, 39.996085, School 2253
19878, 116.337402, 40.01587, School 2238
18491, 116.413017, 40.078959, School 2193
10098, 116.567744, 40.235623, School 2003
16849, 116.61018, 39.985131, School 2386
18319, 116.509426, 40.121733, School 2414
10916, 116.266825, 40.07761, School 2377
20300, 116.4903054, 39.7348966, School 2485
8059, 116.681144, 40.148513, School 2194
12103, 116.394888, 39.711732, School 2146
15224, 116.1775, 40.173289, School 2242
1407, 116.405118, 39.964932, School 2156
1553, 116.258918, 39.892747, School 2365
4793, 116.293386, 40.039047, School 2216
14269, 116.560483, 39.871563, School 2439
3016, 116.565945, 39.737439, School 2287
2479, 115.998873, 39.724173, School 2419
15543, 116.308566, 40.05529, School 2416
19155, 116.424712, 40.029046, School 2153
21237, 116.666401, 39.83305, School 2392
10455, 116.260023, 39.774051, School 2342
725, 116.390666, 39.96031, School 2350
14753, 116.337687, 39.905425, School 2220
10207, 116.372437, 39.814476, School 2411
20264, 116.573123, 40.016858, School 2203
4029, 116.761277, 40.266178, School 2185
16618, 116.2360984, 40.19778993, School 2483
20345, 116.383676, 39.946777, School 2184
15697, 116.675235, 39.889969, School 2405
1433, 116.475251, 39.835216, School 2384
18079, 116.281586, 39.939114, School 2299
10378, 116.446928, 39.954114, School 2375
9879, 116.295312, 39.88961, School 2345
9974, 116.460187, 39.768382, School 2264
21198, 116.619453, 39.878124, School 2400
3325, 116.425939, 39.828509, School 2383
9826, 116.328647, 39.860125, School 2408
14237, 116.636806, 39.984041, School 2440
21111, 116.305952, 39.856704, School 2175
12327, 116.560483, 39.871563, School 2439
10167, 116.2934201, 39.87450578, School 2486
15251, 116.328647, 39.860125, School 2408
11623, 116.371211, 39.994342, School 2428
10383, 116.533382, 39.820292, School 2385
8053, 116.465838, 39.968655, School 2426
10266, 116.57605, 39.910296, School 2437
4945, 116.464927, 39.855216, School 2151
677, 116.371529, 39.746452, School 2341
12787, 115.998873, 39.724173, School 2419
12139, 116.310584, 39.717486, School 2434
20592, 116.2360984, 40.19778993, School 2483
4134, 115.915969, 39.68819, School 2403
14172, 116.605908, 40.095158, School 2404
10443, 116.61122, 39.820589, School 2201
11318, 116.4903054, 39.7348966, School 2485
8023, 116.610664, 39.910163, School 2444
791, 116.216818, 39.979761, School 2431
8437, 116.308566, 40.05529, School 2416
9296, 116.556265, 39.930574, School 2293
11157, 116.327032, 39.764503, School 2207
2527, 116.440134, 39.975117, School 2423
18743, 116.4903054, 39.7348966, School 2485
11929, 116.297575, 39.959766, School 2137
12925, 116.297575, 39.959766, School 2137
16717, 116.619453, 39.878124, School 2400
540, 116.293386, 40.039047, School 2216
10490, 116.465838, 39.968655, School 2426
20321, 116.145259, 39.909844, School 2213
689, 116.297384, 39.696431, School 2418
