PID,Yearly_electricity,Certainty,District,Adjusted_electricity
17447,3763.38,0.2,6,4276.236244699377
10405,3323.074,0.4,11,2578.4685825848883
17770,2103.6700000000005,0.4,3,2465.393294588519
12250,2743.7017,0.0,6,2743.7017
18279,3764.595818181818,0.4,12,2258.7574909090904
13248,2723.3929000000003,0.4,9,3155.124984124939
1038,2694.6919000000003,0.0,3,2694.6919000000003
701,2597.8225000000007,0.0,11,2597.8225000000007
14518,3353.5058909090912,0.4,10,4694.908247272728
16267,2566.1658250000005,0.2,6,2917.456143423156
5660,2654.690400000001,0.0,3,2654.690400000001
17380,2649.5568000000007,0.4,6,3369.6626970830184
17353,2649.5568000000007,0.4,12,1589.7340800000004
5733,2649.5568000000007,0.4,3,3105.18629051455
3661,2649.5568000000007,0.4,9,3069.5797737292373
18732,3862.291636363637,0.2,11,3429.5774017529375
17432,2729.0629000000004,0.0,3,2729.0629000000004
10133,2866.2748000000006,0.0,11,2866.2748000000006
13629,2103.6700000000005,0.6,12,841.4680000000003
8428,3597.2265454545463,0.4,12,2158.3359272727275
3680,2654.690400000001,0.4,1,3716.566560000001
5218,2649.5568000000007,0.0,6,2649.5568000000007
14526,2652.887,0.4,4,2260.5935316015684
8175,2109.6700000000005,0.2,7,2208.152230773724
13521,2644.4277000000006,0.6,6,3720.0188929667493
18830,3750.9878181818185,0.0,1,3750.9878181818185
13585,2330.7216000000003,0.4,6,2964.7728787980905
1955,2658.528640000001,0.0,3,2658.528640000001
21291,2649.5568000000007,0.0,4,2649.5568000000007
17612,2718.117100000001,0.0,11,2718.117100000001
15845,2246.6107000000006,0.2,4,2080.5013212608737
2389,3745.198181818182,0.0,4,3745.198181818182
5721,2649.5568000000007,0.0,9,2649.5568000000007
20919,2662.922900000001,0.2,8,2983.648259528376
2589,2244.1300750000005,0.2,8,2514.6109222489767
13099,2794.523600000001,0.0,12,2794.523600000001
14933,3552.932363636364,0.4,9,4116.214856806595
15722,2103.6700000000005,0.4,6,2676.439341392867
2428,2761.8317200000006,0.6,3,3474.407401273031
19189,3764.595818181818,0.2,13,4444.669799631167
18696,2239.934275,0.2,9,2417.391156826548
3679,2654.690400000001,0.0,2,2654.690400000001
20392,2649.5568000000007,0.0,13,2649.5568000000007
6202,2729.0629000000004,0.2,8,3057.723381249143
17256,2264.478625,0.4,12,1358.687175
5444,2649.5568000000007,0.0,12,2649.5568000000007
8793,2103.6700000000005,0.0,8,2103.6700000000005
18045,2636.305750000001,0.4,15,2546.6940616373495
2439,3745.198181818182,0.4,5,2247.1189090909093
13404,2662.922900000001,0.4,12,1597.7537400000006
8195,2720.6707,0.2,3,2954.452758117715
17105,2280.6647500000004,0.6,9,2823.0246286534357
17300,2309.9248,0.4,6,2938.3629573938406
11957,5369.980500000001,0.2,12,4295.9844
2234,2576.3587375,0.4,4,2195.3817459871084
2999,2694.6919000000003,0.0,3,2694.6919000000003
10508,4137.096363636364,0.0,11,4137.096363636364
12973,4251.093090909091,0.2,12,3400.8744727272733
15144,3561.7908181818184,0.2,9,3844.0593316120244
4649,2103.6700000000005,0.0,4,2103.6700000000005
12310,2718.117100000001,0.2,9,2933.4896864775187
