ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,LED
3,0,4,7,9,2,2,0,0,7,1,3
4,0,3,5,9,2,5,0,2,5,1,4
5,1,3,6,9,2,3,1,0,3,1,4
6,0,3,6,9,2,3,1,1,3,1,2
9,0,3,7,9,2,1,0,0,2,0,4
11,0,2,2,9,1,1,0,0,1,0,4
18,0,3,5,9,2,1,0,0,2,0,4
19,0,3,6,9,2,2,0,0,3,0,4
20,0,4,7,9,2,5,1,2,4,0,4
21,1,3,4,9,1,1,0,0,1,0,4
22,1,3,7,7,2,3,1,1,3,0,1
23,0,3,1,9,1,2,0,0,1,0,1
24,1,2,1,9,1,1,0,0,1,0,2
28,0,3,7,9,2,1,0,0,3,0,3
30,1,3,1,9,1,1,0,0,1,0,3
31,1,2,1,7,1,5,0,1,2,1,3
32,1,2,5,9,2,6,0,0,6,0,4
34,0,3,6,9,2,6,0,0,6,0,1
35,0,2,1,7,1,1,0,0,1,0,3
37,0,4,7,7,2,2,0,1,6,1,2
38,0,3,4,9,2,1,0,0,2,0,2
39,1,2,2,7,2,2,0,0,2,0,3
41,1,3,4,9,2,1,0,0,1,0,3
44,1,2,1,6,2,1,0,0,5,1,1
46,0,3,1,9,1,2,0,0,1,1,1
47,1,2,3,9,1,3,0,0,4,1,3
48,0,3,4,9,2,2,0,0,3,0,1
49,0,2,3,7,1,1,0,0,7,0,3
50,1,3,1,9,1,1,0,0,1,0,3
51,0,2,2,9,1,1,0,0,3,0,2
52,1,3,6,9,2,1,0,0,7,0,1
53,1,3,2,6,2,3,0,0,5,0,3
54,0,3,6,9,2,1,0,0,2,0,1
56,0,3,6,9,2,3,1,0,4,1,3
59,1,3,7,9,2,1,0,0,7,1,3
60,1,3,7,9,2,2,0,0,3,0,4
66,0,3,6,9,2,1,0,0,2,0,3
67,1,3,5,9,2,4,1,1,4,0,4
68,0,2,1,9,1,2,0,0,2,1,4
71,0,2,3,7,1,1,0,0,1,0,2
72,0,3,4,9,2,1,0,0,2,0,1
74,1,3,2,9,1,2,0,0,1,0,3
75,0,3,7,9,2,4,1,1,4,1,3
76,1,3,5,7,2,1,0,0,2,1,3
77,0,4,7,9,2,3,1,0,7,1,2
78,0,3,2,9,1,1,0,0,1,0,4
80,1,3,2,9,1,1,0,0,1,0,1
81,0,3,6,9,2,4,0,1,4,0,4
82,1,2,1,9,1,1,0,0,1,0,2
84,1,2,4,7,2,1,0,0,1,0,4
85,1,2,7,9,1,5,0,1,7,1,4
86,1,2,7,9,2,2,0,0,4,0,4
88,0,3,6,9,2,6,2,2,5,1,4
89,1,3,1,9,1,1,0,0,1,0,3
90,0,4,6,7,2,2,1,0,4,0,4
91,0,3,6,9,2,3,0,1,2,0,3
92,0,2,1,7,1,4,1,0,5,1,2
93,0,3,6,9,2,1,0,0,2,0,4
94,0,3,5,9,2,1,0,0,2,0,2
95,1,3,1,9,1,3,0,0,7,1,4
96,0,3,2,9,1,1,0,0,1,0,1
99,0,2,1,9,1,1,0,0,1,0,4
101,0,3,7,9,2,2,0,0,4,0,2
102,1,3,6,9,2,1,0,0,2,0,4
104,0,2,5,7,2,2,0,0,3,0,3
105,0,5,4,9,4,2,0,2,4,0,4
106,1,4,7,9,2,3,1,2,4,1,4
107,0,3,1,9,1,3,0,1,4,1,4
110,0,3,1,9,1,1,0,0,1,0,4
111,1,4,7,7,2,1,0,0,3,0,1
112,1,3,5,7,2,2,0,0,3,0,3
114,0,3,7,7,2,3,0,1,3,0,3
115,0,3,6,9,2,1,1,2,3,0,1
116,0,3,6,7,2,1,0,0,1,0,3
117,0,3,1,9,1,3,0,0,4,1,3
120,1,2,3,9,2,3,0,0,3,0,1
121,1,2,4,7,2,3,0,0,2,1,3
122,1,2,1,9,1,3,0,0,2,1,3
123,1,2,1,9,1,1,0,0,1,0,3
124,0,3,1,7,2,1,1,1,1,0,2
126,1,3,7,9,2,4,1,2,5,1,3
127,1,4,6,9,2,5,1,2,4,1,3
128,0,3,7,9,2,5,1,2,5,1,4
131,1,3,3,9,2,1,0,0,2,0,2
132,1,2,7,9,2,3,0,0,3,1,4
133,1,2,1,7,1,3,0,0,1,1,4
134,0,2,1,7,1,1,0,0,1,0,1
135,0,2,1,9,1,1,0,0,1,0,1
137,1,2,2,9,1,6,0,1,1,0,3
138,1,2,3,9,1,1,0,0,1,0,2
139,1,2,5,7,2,1,0,0,2,0,3
140,1,3,4,5,2,3,0,0,3,1,3
141,1,3,4,5,2,3,0,0,2,1,2
142,1,2,1,7,1,3,1,0,2,0,4
143,1,3,6,9,2,1,0,0,4,0,3
145,1,2,2,7,1,1,0,0,1,0,3
147,1,3,5,5,2,3,0,0,2,1,2
149,1,3,3,7,2,3,1,0,3,1,4
151,0,2,4,6,2,1,0,0,2,0,3
152,1,3,7,7,2,3,0,1,5,0,4
153,1,3,6,9,2,2,0,0,3,1,4
155,0,3,6,6,2,3,1,0,2,1,2
156,1,3,3,7,2,3,1,0,3,0,4
160,1,2,4,7,2,1,1,0,1,0,2
161,1,3,6,7,2,2,0,0,3,0,4
164,1,2,1,7,1,1,0,0,1,0,4
166,1,3,3,6,4,2,0,1,2,1,3
167,1,3,6,7,2,5,1,2,3,1,3
168,0,2,2,7,1,1,0,0,1,0,4
169,0,3,3,3,2,5,1,2,2,1,3
170,1,4,7,5,2,5,1,2,4,1,3
172,0,3,6,6,2,4,1,2,6,1,3
173,0,3,5,7,2,3,1,0,4,1,3
178,1,4,5,7,2,5,0,2,4,1,3
179,0,3,1,5,4,2,0,0,4,1,4
182,0,3,6,7,2,3,1,1,6,1,4
185,1,3,4,7,2,3,1,0,4,0,3
187,0,2,1,7,1,3,0,0,3,1,4
190,0,2,7,6,4,1,0,0,2,0,4
193,0,3,6,7,2,1,0,0,2,0,4
200,0,3,3,5,2,1,1,0,1,0,3
202,1,2,1,7,1,1,0,0,1,0,4
203,0,5,7,9,2,3,0,0,5,1,3
206,0,3,5,7,2,2,0,0,3,0,4
208,0,3,3,5,2,5,1,2,2,1,3
211,0,3,7,7,2,3,1,0,7,1,3
