ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend,Temp_summer_day
1,1,2,3,9,1,1,0,0,1,0,1,4,15,21,1
2,1,2,3,9,1,1,0,0,1,0,0,0,0,0,0
3,0,4,7,9,2,2,0,0,7,1,1,5,21,21,2
4,0,3,5,9,2,5,0,2,5,1,1,2,1.5,1.5,1
5,1,3,6,9,2,3,1,0,3,1,2,4,4.5,9,1
6,0,3,6,9,2,3,1,1,3,1,1,4,15,15,2
7,0,3,1,9,1,1,0,0,1,0,1,3,9,21,1
8,1,3,2,9,1,1,0,0,1,0,1,5,9,9,1
9,0,3,7,9,2,1,0,0,2,0,1,4,4.5,4.5,3
11,0,2,2,9,1,1,0,0,1,0,1,2,9,9,4
12,1,3,7,9,2,1,0,0,4,0,1,5,4.5,9,1
13,0,4,6,9,2,5,1,3,2,0,1,3,1.5,4.5,2
16,1,3,7,7,2,1,0,0,2,0,1,4,1.5,21,1
18,0,3,5,9,2,1,0,0,2,0,1,5,4.5,9,1
19,0,3,6,9,2,2,0,0,3,0,2,4,9,15,1
20,0,4,7,9,2,5,1,2,4,0,4,3,4.5,9,1
21,1,3,4,9,1,1,0,0,1,0,1,4,4.5,4.5,1
22,1,3,7,7,2,3,1,1,3,0,1,2,1.5,1.5,1
23,0,3,1,9,1,2,0,0,1,0,3,4,9,15,2
24,1,2,1,9,1,1,0,0,1,0,1,3,9,15,3
25,0,2,4,9,1,1,0,0,3,0,1,5,4.5,15,2
26,0,2,1,9,1,2,1,1,3,1,3,3,1.5,4.5,4
28,0,3,7,9,2,1,0,0,3,0,1,2,9,21,1
29,0,3,5,7,2,1,0,0,5,0,2,3,9,9,2
30,1,3,1,9,1,1,0,0,1,0,1,4,4.5,4.5,1
31,1,2,1,7,1,5,0,1,2,1,2,3,4.5,4.5,5
32,1,2,5,9,2,6,0,0,6,0,4,5,21,21,3
33,0,3,7,9,2,1,0,0,4,0,2,2,1.5,9,1
34,0,3,6,9,2,6,0,0,6,0,2,4,1.5,4.5,3
35,0,2,1,7,1,1,0,0,1,0,1,3,4.5,21,1
37,0,4,7,7,2,2,0,1,6,1,1,2,1.5,4.5,1
38,0,3,4,9,2,1,0,0,2,0,1,4,1.5,4.5,3
39,1,2,2,7,2,2,0,0,2,0,4,2,4.5,15,2
41,1,3,4,9,2,1,0,0,1,0,1,4,21,21,2
42,0,2,1,9,1,1,0,0,1,0,1,4,4.5,9,1
43,0,2,1,9,1,3,0,1,3,1,1,4,4.5,4.5,6
44,1,2,1,6,2,1,0,0,5,1,0,0,0,0,0
46,0,3,1,9,1,2,0,0,1,1,1,5,9,15,2
47,1,2,3,9,1,3,0,0,4,1,2,2,1.5,1.5,2
48,0,3,4,9,2,2,0,0,3,0,1,5,1.5,4.5,5
49,0,2,3,7,1,1,0,0,7,0,2,5,4.5,9,4
50,1,3,1,9,1,1,0,0,1,0,1,5,1.5,4.5,4
51,0,2,2,9,1,1,0,0,3,0,1,4,9,9,1
52,1,3,6,9,2,1,0,0,7,0,1,3,15,15,2
53,1,3,2,6,2,3,0,0,5,0,3,5,1.5,1.5,5
54,0,3,6,9,2,1,0,0,2,0,1,3,1.5,4.5,1
55,0,2,1,9,1,1,0,0,1,0,1,5,4.5,15,1
56,0,3,6,9,2,3,1,0,4,1,3,4,4.5,9,1
57,0,3,7,9,2,1,0,0,4,0,1,4,1.5,1.5,1
58,0,3,5,9,2,1,0,2,2,1,1,3,1.5,4.5,1
59,1,3,7,9,2,1,0,0,7,1,3,1,1.5,1.5,3
60,1,3,7,9,2,2,0,0,3,0,1,2,1.5,15,4
61,0,3,6,7,2,4,1,2,4,0,2,5,15,15,1
63,0,3,6,7,2,1,0,0,2,0,1,3,4.5,9,1
65,0,2,6,9,2,1,0,0,3,1,1,5,4.5,15,2
66,0,3,6,9,2,1,0,0,2,0,2,2,1.5,4.5,2
67,1,3,5,9,2,4,1,1,4,0,2,4,1.5,4.5,2
68,0,2,1,9,1,2,0,0,2,1,2,3,4.5,4.5,4
69,0,3,5,9,2,1,0,0,2,0,1,4,9,21,3
70,0,3,6,9,2,2,0,0,5,0,1,3,4.5,9,1
71,0,2,3,7,1,1,0,0,1,0,1,3,1.5,1.5,2
72,0,3,4,9,2,1,0,0,2,0,1,4,1.5,1.5,1
73,1,3,7,7,2,1,0,0,4,0,1,4,1.5,9,2
74,1,3,2,9,1,2,0,0,1,0,1,5,1.5,9,2
75,0,3,7,9,2,4,1,1,4,1,3,2,4.5,9,2
76,1,3,5,7,2,1,0,0,2,1,2,5,1.5,9,3
77,0,4,7,9,2,3,1,0,7,1,4,4,1.5,4.5,1
78,0,3,2,9,1,1,0,0,1,0,1,4,4.5,9,3
79,0,3,1,9,1,1,0,0,1,0,1,2,1.5,1.5,2
80,1,3,2,9,1,1,0,0,1,0,3,4,4.5,9,1
81,0,3,6,9,2,4,0,1,4,0,3,6,4.5,9,3
82,1,2,1,9,1,1,0,0,1,0,1,3,4.5,4.5,1
84,1,2,4,7,2,1,0,0,1,0,1,4,1.5,9,2
85,1,2,7,9,1,5,0,1,7,1,2,2,9,9,4
86,1,2,7,9,2,2,0,0,4,0,1,4,4.5,9,3
87,0,2,7,9,2,3,0,0,6,1,3,3,1.5,1.5,4
