PID,Yearly_electricity,Certainty,District
17447, 3763.38, 0.2, 6
10405, 3323.074, 0.4, 11
17770, 2103.6700000000005, 0.4, 3
12250, 2743.7017, 0, 6
18279, 3764.5958181818182, 0.4, 12
13248, 2723.3929000000003, 0.4, 9
1038, 2694.6919000000003, 0, 3
701, 2597.8225000000007, 0, 11
14518, 3353.5058909090912, 0.4, 10
16267, 2566.1658250000005, 0.2, 6
5660, 2654.690400000001, 0, 3
17380, 2649.5568000000007, 0.4, 6
17353, 2649.5568000000007, 0.4, 12
5733, 2649.5568000000007, 0.4, 3
3661, 2649.5568000000007, 0.4, 9
18732, 3862.2916363636364, 0.2, 11
17432, 2729.0629000000004, 0, 3
10133, 2866.2748000000006, 0, 11
13629, 2103.6700000000005, 0.6, 12
8428, 3597.2265454545463, 0.4, 12
3680, 2654.690400000001, 0.4, 1
5218, 2649.5568000000007, 0, 6
14526, 2652.887, 0.4, 4
8175, 2109.6700000000005, 0.2, 7
13521, 2644.4277000000006, 0.6, 6
18830, 3750.9878181818185, 0, 1
13585, 2330.7216000000003, 0.4, 6
1955, 2658.528640000001, 0, 3
21291, 2649.5568000000007, 0, 4
17612, 2718.117100000001, 0, 11
15845, 2246.6107000000006, 0.2, 4
2389, 3745.198181818182, 0, 4
5721, 2649.5568000000007, 0, 9
20919, 2662.922900000001, 0.2, 8
2589, 2244.1300750000005, 0.2, 8
13099, 2794.523600000001, 0, 12
14933, 3552.9323636363642, 0.4, 9
15722, 2103.6700000000005, 0.4, 6
2428, 2761.8317200000006, 0.6, 3
19189, 3764.5958181818182, 0.2, 13
18696, 2239.934275, 0.2, 9
3679, 2654.690400000001, 0, 2
20392, 2649.5568000000007, 0, 13
6202, 2729.0629000000004, 0.2, 8
17256, 2264.478625, 0.4, 12
5444, 2649.5568000000007, 0, 12
8793, 2103.6700000000005, 0, 8
18045, 2636.305750000001, 0.4, 15
2439, 3745.198181818182, 0.4, 5
13404, 2662.922900000001, 0.4, 12
8195, 2720.6707, 0.2, 3
17105, 2280.6647500000004, 0.6, 9
17300, 2309.9248000000002, 0.4, 6
11957, 5369.980500000001, 0.2, 12
2234, 2576.3587375, 0.4, 4
2999, 2694.6919000000003, 0, 3
10508, 4137.096363636364, 0, 11
12973, 4251.093090909091, 0.2, 12
15144, 3561.7908181818184, 0.2, 9
4649, 2103.6700000000005, 0, 4
12310, 2718.117100000001, 0.2, 9
6397, 2770.4072, 0.4, 9
12256, 2581.6389250000007, 0.4, 3
2238, 2545.0217875000003, 0.2, 11
13748, 3244.662727272728, 0, 8
20407, 2755.5896000000007, 0, 9
21399, 3763.38, 0.4, 12
13148, 2723.3929000000003, 0.2, 4
11926, 2743.7017, 0, 10
3242, 2248.1935750000007, 0.4, 1
5653, 2649.5568000000007, 0.6, 3
79, 3745.198181818182, 0.2, 6
19487, 2249.8122050000006, 0, 11
1270, 2755.5896000000007, 0.4, 11
18316, 3851.553, 0.4, 4
5105, 3128.918545454546, 0.4, 4
1981, 2652.199040000001, 0.2, 4
13673, 2103.6700000000005, 0, 12
11781, 4525.297272727274, 0.4, 11
11654, 2718.117100000001, 0.4, 12
5459, 2649.5568000000007, 0, 9
20026, 2103.6700000000005, 0, 11
8858, 2720.6707, 0.2, 6
2987, 2242.4857750000006, 0.2, 3
14412, 2794.523600000001, 0.2, 4
11636, 2718.117100000001, 0.2, 10
17864, 2636.0365000000006, 0, 4
11688, 2581.6389250000007, 0.2, 6
5771, 2649.5568000000007, 0.4, 4
10802, 2321.8516000000004, 0.2, 7
2345, 2794.523600000001, 0, 14
18497, 3750.9878181818185, 0, 11
3370, 2670.3668000000002, 0.2, 15
7221, 2713.4426000000008, 0, 9
4996, 3621.288363636364, 0.2, 3
17821, 2713.4426000000008, 0, 8
13062, 2723.3929000000003, 0, 11
16536, 2103.6700000000005, 0.6, 12
17896, 2103.6700000000005, 0, 9
3395, 2566.1658250000005, 0.2, 1
7727, 2694.6919000000003, 0, 9
1896, 2761.8317200000006, 0.4, 2
19895, 2103.6700000000005, 0.2, 9
13622, 2103.6700000000005, 0.4, 11
13657, 2103.6700000000005, 0, 10
6016, 2729.0629000000004, 0.2, 6
20991, 2679.6860000000006, 0, 4
5718, 2649.5568000000007, 0.4, 13
3687, 2649.5568000000007, 0, 6
14404, 3745.198181818182, 0.4, 8
2615, 2553.183625, 0.4, 15
2347, 3745.198181818182, 0.4, 3
9295, 2089.6700000000005, 0, 6
19693, 2103.6700000000005, 0.4, 4
14859, 3259.3220909090915, 0.2, 10
16822, 2309.9248000000002, 0, 6
5428, 2649.5568000000007, 0.4, 8
18972, 3865.639, 0.4, 15
19097, 2880.6547181818187, 0, 6
5302, 2649.5568000000007, 0.4, 15
5528, 2702.5660000000003, 0.4, 6
6649, 2713.4426000000008, 0.2, 4
14398, 2918.0840909090916, 0.4, 14
7268, 2729.0629000000004, 0.4, 10
4363, 3128.918545454546, 0.4, 13
11757, 3763.38, 0.4, 10
13353, 2644.4277000000006, 0.4, 3
7626, 2109.6700000000005, 0.2, 9
6015, 2713.4426000000008, 0.4, 6
11900, 2581.6389250000007, 0.4, 3
13638, 2103.6700000000005, 0.4, 4
11406, 2121.6700000000005, 0.4, 12
19075, 3372.6934000000006, 0.4, 8
12364, 2718.117100000001, 0.4, 5
15582, 3690.0683636363638, 0.2, 12
6531, 2713.4426000000008, 0, 6
4131, 3239.339090909091, 0.4, 6
7280, 2729.0629000000004, 0.6, 10
13561, 2330.7216000000003, 0.4, 3
15565, 2103.6700000000005, 0.2, 4
21119, 2103.6700000000005, 0.2, 4
10868, 2321.8516000000004, 0.4, 12
16411, 2729.0629000000004, 0, 12
9333, 2694.6919000000003, 0.4, 9
21242, 2989.279090909092, 0.2, 10
6084, 2729.0629000000004, 0.2, 3
2883, 2652.1291000000006, 0, 15
13672, 2330.7216000000003, 0.2, 11
17903, 2103.6700000000005, 0, 9
