FID_,Capacity,Age,long,lat,Location
1246,15,5,114.30644060000,22.77130579000,1
798,13,6,114.30800440000,22.77155388000,1
840,1,12,113.96862620000,22.63004164000,2
1853,4,6,114.11611730000,22.59930781000,3
1990,6,6,114.11914950000,22.60178745000,3
438,10,6,114.12032760000,22.60180269000,3
727,4,8,114.11844320000,22.60192271000,3
1556,1,6,113.85287830000,22.74227468000,4
850,1,5,113.97359680000,22.53691557000,5
1865,6,5,113.97311660000,22.54097569000,5
61,1,16,114.43313700000,22.62855560000,6
499,9,4,114.28679860000,22.66660255000,7
1649,4,7,114.29152270000,22.66883609000,7
1060,1,8,114.28874280000,22.66535002000,7
1788,1,9,114.06693110000,22.71030324000,8
1317,1,7,113.90829340000,22.53487520000,9
625,1,10,113.91212080000,22.53377800000,9
774,1,8,114.03693000000,22.61669775000,10
1746,1,8,114.03371190000,22.61687441000,10
1159,4,5,114.06580460000,22.54474181000,11
1288,3,6,114.06394260000,22.54686600000,11
433,4,6,114.06582440000,22.54709862000,11
166,1,5,114.23651320000,22.59596208000,12
1931,1,5,114.23848900000,22.59656756000,12
337,1,5,113.96837330000,22.70019117000,13
796,9,7,113.96790010000,22.70352361000,13
1520,3,4,113.90136780000,22.79263871000,14
326,1,11,113.90208730000,22.79071022000,14
542,3,3,113.80458130000,22.66852381000,15
1533,6,5,113.80727010000,22.66913846000,15
955,3,5,114.38338010000,22.69048805000,16
261,6,5,114.38090850000,22.69176630000,16
710,12,6,114.37784050000,22.69261936000,16
1825,18,6,114.37785870000,22.68920719000,16
1943,1,5,114.54100210000,22.49485632000,17
1075,12,6,114.22031980000,22.69700052000,18
1178,4,4,114.12615950000,22.70308613000,19
1707,4,5,114.12434490000,22.70117938000,19
925,3,7,114.12249230000,22.70111222000,19
531,4,7,114.12656050000,22.69963352000,19
1289,1,11,113.86916830000,22.59383270000,20
1268,1,4,114.31787120000,22.72020294000,21
1474,1,4,114.31338090000,22.72052234000,21
493,1,6,114.31138150000,22.72537671000,21
1897,1,7,114.31527690000,22.72294610000,21
1478,3,4,114.12002560000,22.56292986000,22
15,3,6,114.11753420000,22.56080251000,22
1917,1,0,113.91853410000,22.74888894000,23
1774,4,6,113.86042570000,22.79841952000,24
464,12,7,113.85830130000,22.79482681000,24
1035,1,5,113.95725900000,22.58270328000,25
578,1,6,114.36074310000,22.75979014000,26
767,6,5,113.98438570000,22.73744168000,27
302,10,5,113.98072100000,22.73399460000,27
1671,4,6,113.98330050000,22.73590738000,27
1055,1,4,113.81228440000,22.71229903000,28
673,3,5,114.19421130000,22.64106038000,29
524,9,5,114.20010580000,22.64522970000,29
1939,4,6,114.19932690000,22.64642831000,29
