YEAR,Birth,Death,Immigration,Emigration,Marriage,Divorce,Income
2021,92942,7143,389974,46700,76380,19787,12963.58
2022,97217,7728,405963,48717,77686,32532,13729.5
2023,101493,8060,421953,50735,80431,34235,14553.33
2024,105768,8393,437942,52752,83177,35938,13748.80333
2025,110043,8725,453932,54770,85922,37640,14010.54444
2026,114319,9057,469921,56787,88667,39343,14104.22593
2027,118594,9390,485911,58805,91413,41046,13954.52457
2028,122869,9722,501900,60822,94158,42749,14023.09831
2029,127145,10054,517890,62840,96904,44451,14027.28294
2030,131420,10387,533879,64857,99649,46154,14001.63527
2031,135695,10719,549868,66874,102394,47857,14017.33884
2032,139971,11052,565858,68892,105140,49560,14015.41902
